DN	TR	LR	IA	IQ	KS	GR	LS	DD	SR	EL	LA	RC	GI	KI	NL	HT	QR	LI	AM	AE	NM	PI	DI	VR	PG	LV	MD	GV	VD	LG	II	GE	NV	LE	EE	LL	NR	RA	QG	ED	PR	YL	TL	RR	LD	FG	GC	RL	SL	AT	PV	DE	AW	DG	PA	AL	KR	TS	YP	HL	LK	RY	QK	SF	CL	LN	GS	VE	VA	AG	DA	IC	DL	VS	TG	AN	GL	RE	VI	YR	SK	AC	EM	AQ	QQ	DK	AR	ES	KY	IM	MH	AP	SE	LP	GA	ER	PT	IL	PL	EQ	MV	SS	ET	LF	WE	TM	EK	VL	MM	MS	SI	IF	AA	VP	AD	NP	KL	DT	PD	IV	TD	TP	TY	VQ	YG	KD	HG	YQ	AK	CR	LC	KG	FD	YA	TK	YI	NS	TH	FA	HV	IK	LY	ME	VG	SG	ST	EI	MP	IS	VN	QA	AF	AV	MR	WV	DH	FR	SH	GY	QL	VV	PP	EY	TT	GQ	RT	FK	DQ	DM	QV	ID	AH	RG	CY	CG	SV	LH	PS	TA	EP	LQ	GH	IE	EV	GM	HA	SA	GG	VC	IR	EA	HY	HS	VF	SP	YD	RV	FS	QP	GD	RS	VM	TE	SW	NE	CD	RQ	EG	RW	TV	MK	KK	KF	RI	KP	NA	NF	KA	SC	TC	PE	DY	NY	LT	MG	MA	DV	QT	KE	SQ	FI	DP	QE	FH	NN	VH	WN	FL	DS	FE	VT	RK	YV	GK	EH	RM	GF	HF	SM	AI	NQ	MQ	YF	PQ	QD	HI	QY	KQ	RF	DR	LM	AY	QN	WL	DF	VY	NH	QS	HN	AS	QH	ND	KT	WP	SY	MY	PN	CV	NG	KM	WQ	IN	SD	YE	CK	HP	YY	GN	KV	NK	MI	IP	EF	RD	KN	GT	EN	MN	IT	NC	SN	FF	RP	IY	TF	EW	PF	CT	GP	NW	FV	WS	YK	CN	HC	KW	CQ	NI	PK	RN	HQ	IG	PM	MT	KH	QF	FQ	QM	VK	PH	FT	TI	CH	FY	QC	PC	DC	PW	HR	CA	FP	YS	FN	DW	HD	CP	FC	MF	IH	LW	PY	YT	WK	GW	HE	KC	TN	NT	EC	YC	WG	WF	HK	MC	CS	CM	CE	TW	QI	YH	YN	FM	WA	WR	RH	WT	TQ	VW	HM	CI	YW	HH	YM	HW	MW	WI	CC	QW	CF	IW	FW	CW	WD	WY	WH	WC	WW	WM	Classe
1	2	4	4	4	2	1	2	2	1	2	4	1	2	1	1	1	3	3	2	2	1	2	2	1	2	3	1	3	2	2	1	4	1	3	2	6	1	2	2	1	2	2	3	2	4	1	1	6	1	3	1	1	1	4	1	3	2	1	1	1	2	2	2	1	2	2	1	2	2	2	1	1	2	3	1	1	3	3	3	1	3	1	1	2	2	1	2	1	1	1	2	2	2	3	3	2	1	3	1	1	1	2	2	1	1	1	2	2	2	0	1	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	1	1	0	0	0	0	1	4	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	c1
1	1	1	2	1	0	2	1	0	3	2	4	0	2	0	1	0	0	4	0	0	0	1	1	3	1	3	0	1	2	1	1	0	0	3	3	3	1	2	0	0	0	0	3	0	2	0	0	3	1	3	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	2	1	2	4	1	0	4	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	3	0	1	0	4	0	0	3	2	0	0	0	0	1	0	1	1	1	4	1	3	1	3	2	1	4	1	1	1	1	2	1	1	1	3	1	1	3	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c1
0	1	5	0	1	0	6	2	2	4	4	10	0	0	1	0	1	0	1	0	7	0	0	1	3	4	4	0	4	1	4	1	3	0	2	1	6	1	2	1	0	0	1	2	3	6	1	1	7	3	2	2	0	0	1	5	10	0	0	0	1	1	1	0	1	1	1	3	1	4	6	6	0	10	2	2	0	3	5	0	0	0	0	0	1	0	2	3	1	0	0	0	1	0	8	4	1	0	1	2	0	1	0	0	2	0	1	0	4	0	0	0	0	5	3	5	0	2	0	3	0	0	1	0	0	3	1	1	1	1	0	1	0	2	0	0	0	0	0	1	1	0	2	0	3	2	1	2	0	0	0	1	2	1	2	1	1	2	1	2	5	3	1	1	1	2	2	1	1	1	1	2	1	4	1	1	1	2	1	1	2	3	3	2	4	1	2	1	4	1	3	5	1	1	1	1	1	3	1	1	2	3	2	1	1	1	1	1	1	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c1
2	0	1	3	4	1	2	3	1	0	1	4	1	1	2	2	0	2	0	1	3	0	2	2	1	2	3	0	1	2	2	0	1	1	5	0	5	2	0	1	1	1	2	4	2	2	0	0	4	3	1	0	1	0	2	0	4	0	1	1	0	2	0	2	1	0	3	3	1	2	1	0	1	2	2	1	0	1	0	1	1	0	0	0	2	1	1	1	2	1	0	0	2	1	4	3	3	2	4	1	0	0	2	1	2	0	0	2	3	0	0	2	0	0	1	1	0	2	1	2	2	0	0	0	1	0	0	0	1	0	1	1	1	2	0	0	1	1	1	1	2	1	0	0	1	1	1	1	0	1	0	3	1	4	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	1	2	1	1	2	1	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	c1
2	0	1	3	3	1	1	2	1	0	1	5	1	1	2	2	0	2	0	1	3	0	2	1	1	2	3	0	1	2	2	0	1	1	5	0	5	2	0	1	1	1	2	4	1	2	0	0	4	3	1	0	1	0	2	0	4	1	1	1	0	2	0	2	1	0	4	4	1	2	0	0	1	2	2	1	0	1	0	1	0	0	0	0	2	1	1	1	2	1	0	0	2	1	4	2	3	2	4	1	0	0	2	1	2	0	0	2	3	0	0	2	0	1	1	2	0	2	1	1	2	0	0	0	1	0	0	0	1	0	1	1	1	2	0	0	1	1	1	1	2	1	0	0	1	2	1	1	0	1	0	3	2	4	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	0	1	2	1	1	1	1	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	0	2	1	2	1	1	1	2	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	c1
0	0	2	1	0	0	1	1	0	2	1	4	1	0	0	2	0	0	2	0	1	0	2	0	2	0	4	0	3	2	1	0	0	0	1	2	2	0	3	1	1	0	0	2	0	1	1	0	2	1	2	0	0	0	0	1	3	1	1	0	0	4	0	0	0	0	1	2	4	4	3	2	0	3	1	0	2	2	1	1	0	1	0	0	0	0	0	3	0	1	1	0	2	0	1	3	1	2	1	3	0	0	2	3	0	0	0	0	1	0	2	0	1	5	3	2	0	3	0	0	2	2	0	1	0	2	1	1	1	1	1	0	2	1	1	1	0	0	0	1	1	1	2	1	1	2	0	1	1	1	1	1	1	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	2	0	0	1	1	0	1	0	2	1	1	2	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c1
0	3	4	3	3	3	1	3	2	2	2	3	1	2	1	1	0	2	3	2	3	1	2	2	2	2	3	1	3	2	2	2	2	1	2	1	4	1	2	3	0	2	1	4	2	5	1	1	7	1	2	0	2	0	2	0	1	0	1	1	0	2	1	1	0	3	2	1	2	2	2	2	1	2	2	2	1	3	2	2	1	2	1	1	1	2	4	1	2	1	1	2	3	2	3	3	2	1	4	2	0	1	2	2	1	1	1	2	2	2	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	1	2	0	1	0	0	2	0	1	3	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	3	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	c1
0	2	4	4	2	3	1	2	2	2	2	4	1	2	1	1	0	2	3	3	3	1	2	2	1	2	3	1	2	1	2	1	3	1	2	1	6	1	2	2	1	2	1	3	2	5	1	1	6	2	2	0	2	0	2	1	1	1	1	1	1	2	1	1	0	3	2	1	2	2	2	1	1	2	2	2	1	3	3	3	1	2	1	1	1	2	2	2	1	1	1	1	2	2	3	3	2	1	3	1	0	1	2	2	1	1	1	3	2	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	1	1	0	2	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	2	1	1	0	0	2	0	1	4	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	0	0	1	2	0	1	0	1	1	0	1	0	0	2	0	1	0	0	1	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	c1
0	1	4	1	3	0	4	8	2	2	4	4	0	2	1	2	2	1	1	0	1	0	1	1	2	0	3	0	3	1	7	0	1	0	4	1	5	1	5	1	0	0	0	3	1	4	2	0	1	5	2	0	0	0	2	2	5	1	1	0	2	1	3	0	1	0	2	1	3	4	3	2	0	9	0	2	0	6	0	2	0	1	0	1	4	2	0	4	2	0	0	0	4	2	3	2	0	0	0	2	3	1	2	3	1	0	0	0	3	0	0	1	0	1	1	3	0	0	0	1	1	0	2	0	0	1	0	0	2	0	0	1	0	0	7	2	1	1	1	0	2	0	3	1	2	1	0	1	1	1	0	4	1	1	0	0	0	1	0	1	5	2	0	1	1	2	0	3	3	1	3	3	2	1	1	0	1	2	0	0	0	1	2	5	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	3	1	0	0	0	1	2	2	1	1	0	0	0	2	1	1	1	1	1	0	2	0	0	0	0	0	4	1	1	2	1	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	1	0	1	0	0	0	2	4	0	0	1	0	0	1	0	2	1	2	2	1	1	1	3	1	2	3	1	1	1	2	1	1	1	1	1	3	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	c1
0	1	2	2	0	1	2	1	1	2	2	3	0	1	2	2	0	1	3	0	0	0	1	0	1	0	1	0	1	3	2	0	1	1	4	2	4	0	2	0	1	0	0	3	0	2	1	0	2	1	1	0	0	0	0	0	2	1	0	0	0	3	0	1	1	0	0	1	2	1	3	0	0	1	1	1	2	3	0	1	0	1	0	0	2	0	0	0	0	1	1	0	1	0	1	2	0	2	4	3	1	0	1	1	0	0	0	1	1	1	0	0	1	2	1	1	0	3	1	0	2	0	0	1	0	1	1	2	0	0	0	0	2	1	1	1	1	0	1	0	1	1	1	2	2	0	0	1	0	0	3	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	2	1	0	0	1	1	0	2	1	0	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0	3	2	2	0	0	0	0	1	0	2	0	0	1	1	1	1	1	1	2	3	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c1
